id,url,heading,category,date,page,pageSequence,snippet,troveUrl,title.id,title.value,relevance.score,relevance.value,text
10649082,/newspaper/10649082,TO THE EDITOR OF THE ARGUS.,Article,1908-02-20,5,5,"Sir,—A large number of our citizens agree that the present site is the most suitable for the erection of a new hospital, want of more land being the obstacle. Could not",https://trove.nla.gov.au/ndp/del/article/10649082?searchTerm=text%3A%221+little+lonsdale+street%22%7E0,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",7.0612793,very relevant,"TO THE EDITOR OF THE ARGUS.

Sir - VI large number of our citizens agree that the present site is the most
suitable for the erection of a new hospital want of more land being the
obstacle Could not that portion of 1 Little Lonsdale-street be tween Swanston
and Russell streets, he

handed over to the Hospital author ides > Jins piece of land would
considerably in- crease the size of the present site and the loss of the
thoroughfare would not be felt

by the public

-Yours,, Le., WACA.

"
244652451,/newspaper/244652451,Young Engineer's Home-Made Plane,Article,1937-04-13,1,1,"TODAY'S PICTURE of Australia's most unorthodox aeroplane, which is being constructed in a motor works [?]a Little Lonsdale Street. The designer, Mr. B. C. C. Tuckwell, a 30-year-old engineer, is seen near the tall. The machine, can be converted into something like an autogiro, and has 24-blade propellers, working in tunnels on either sid. The inventor and designer, who has-been working on this machine for about a year",https://trove.nla.gov.au/ndp/del/article/244652451?searchTerm=text%3A%221+little+lonsdale+street%22%7E0,1190,"The Herald (Melbourne, Vic. : 1861 - 1954)",6.9989214,very relevant,"Young Engineer's Home-Made Plane

TODAY'S PICTURE of Australia's most, unorthodox . aeroplane, which is heing
constructed in a motor works . i: 1 Little. Lonsdale Street The ""designer, Mr
B. .C, U Tuckwell, a 30-year-oH engineer, is seen near the fail. : The
machine, can be converted into something like ahJ autogiro, and' has '24-blnde
propellers, working in tunnels on elther sidf. The inventor and designer, who
has-been working on this machine for about a year, is confident that it ;will
be a success. He will- test it at Ivanhoe within a fortnight.

"
10764063,/newspaper/10764063,POLICE NEWS. ALLEGED ASSAULT AND ROBBERY.,Article,1913-02-04,8,8,"At the City-Court on Monday, Jasper Long was charged with assault and robbery. Mr. Sonenberg appeared for the defence. The evidence wsa that at half-past 1 o'clock on the morning of",https://trove.nla.gov.au/ndp/del/article/10764063?searchTerm=text%3A%221+little+lonsdale+street%22%7E0,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",6.805767,very relevant,"POLICE NEWS.

-BY.

ALLan issue ED ROUBLE.

all the OlvK'«)iirt on Monday, Jasper Payn; was I

«ltUTTt-,1 -with -assault and Tol>î)t-ri Mr Sam II

lirrL- using, 1 for till Mints- The terms it is that at half past 1 offered on
all' IIIODIIIIK of l>»-t»mt»f-r H. after leaving his mark at His Highness 2
Tin and Ikiriil firing, a final polishing. not Him just in 1 little- Lonsdale
street Due of tin in. writing He was ntsiirniinl to line-, its nest him in Hi,

there. are fully-,! firm files n If the latter, a sum less critical in its
last, the Fremantle I (at Hear atMlu OnmiiLiI cure

"
10705105,/newspaper/10705105,LICENSING ACT. LICENSES REDUCTION BOARD. CITY HOTELS.,Article,1909-03-26,3,3,"The hearing of cases in which the police recommend that hotels in the Bourke Licensing District will be closed was continued yesterday, before the Licenses Reduction Board, Messrs. Barr (chairman),",https://trove.nla.gov.au/ndp/del/article/10705105?searchTerm=text%3A%221+little+lonsdale+street%22%7E0,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",6.7392206,very relevant,"LICENSING ACT.

? -»-.

LICENSES REDUCTION BOARD.

CITY HOTELS. The

hearing of cases in which. the police room ,

mend that hotels in the Bourke licensing District

t% will be closed v. as central ill yesterday before the Licenses Reduction
Board, Messrs Barr (chairman), Andrews, and Cumming The ground of the opp.
cations by the police are that the trade in the neighbourhood v will be
sufficiently catered for without these hotels In opposition evidence was
brought to show that the li< tels were well con due till and entered for a
legitimate and sAtisfactory trade Decisions have been received by the board in
the cases of UK Australia Felix Hotel, Lonsdale street, Kirk's Bazaar Hotel
little Bourke street Letters mm Hotel, 1 little Lonsdale street Railway Hotel
under on street, and the Exchange Hotel, May-street

"
242866630,/newspaper/242866630,SHOPBREAKING IN LITTLE LONSDALE STREET. TOBACCO AND CIGARETTES STOLEN.,Article,1892-09-12,4,4,"The shop of Joseph Lannos, storekeeper, 71 Little Lonsdale street, was broken into and rubbed between 8 and 10 o'clock las[?] night (Sunday). Mr Lannos left his shop at",https://trove.nla.gov.au/ndp/del/article/242866630?searchTerm=text%3A%221+little+lonsdale+street%22%7E0,1190,"The Herald (Melbourne, Vic. : 1861 - 1954)",6.6766562,very relevant,"SHOPBREAKING IN LITTLE! LONSDALE STREET.

TOBACCO AND CIGARETTES STOLEN.

Tho shop of Joseph Linnos, storekeeper, 1 1 Little Lonsdale street, was broken
into and rubbed between 8 and 10 o'clock las night (Sunday), iir Lannos left
his chop at

b o clock, having securely fastened it. Upon lib return at 10 o'clock, he
found that a pane of claw had hcen broken in a hack window largo enough to
admit a boy. Tho door of the shop whs then opcocd from tho iuaidc. Upon the
atock being ex amined, it was found thut the thieves had carried away the
following property:— Kight pounds of cut tobacco, a box of cigarettes, a
quantity of cigarette paper, three dozen bars soap, J-llli of rpcrrn candles
Mid a dozen and ft hull tiire of hardincd, tho wholu being valued ut 1,3.

"
8643417,/newspaper/8643417,THE HORN BROOK RAGGED SCHOOLS.,Article,1891-11-21,10,10,"The annual meeting of the subscribers the Hornbrook Rugged School Association, took place at the Assembly-hall, Collins-street, yesterday, Mrs. Bayles, one of the",https://trove.nla.gov.au/ndp/del/article/8643417?searchTerm=text%3A%221+little+lonsdale+street%22%7E0,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",6.4415617,very relevant,"THE HORN BROOK RAGGED

SCHOOLS

The annual meeting of the subscribers of the Hornbrook Rugged School
Association, took place at the Assembly hall, Collins street, yesterday, Mrs
the less one of the vice presidents, occupying, the chain 'The report of the
committee showed that the work of the association during the year had  been
extremely successful and the honorary tri surer, Miss Puckle find the
gratification of being able to present a balance sheet, with a substantial sum
to credit the retiring officers were re elected, as follows -President, Mrs
Woolley vice presidents, Mrs Bayles and Mrs Forbes honorary secretary, Mrs
Beelu r honorary treasurer Miss Puckle At present three schools are being
maintained by the association at I stroke street, 1 Little Lonsdale street,
and 1 debt bourne street, and the desire of the members is that friends of the
rugged children of the slums will provide funds during the coming Seaforths
establishment and maintenance of schools of this class in Carlton Balaclava,
and other localities where they are needed

"
221745138,/newspaper/221745138,HOME DRESS MAKING.,Article,1887-06-18,6,6 S,The great difficulty in home dressmaking is the draping of the skirt. The fit of the bodice can be managed if the amateur dressmaker have a sister or mother who,https://trove.nla.gov.au/ndp/del/article/221745138?searchTerm=text%3A%221+little+lonsdale+street%22%7E0,621,"Weekly Times (Melbourne, Vic. : 1869 - 1954)",6.336344,very relevant,"HOME DRESS MAKING.

The great difficulty in home dress-making is tbe draping of the skirt. The fit
of the bodice can be managed if the amateur dressmaker have a sister or mother
who

can fit her, but the drapery is often an in- dispensable difficulty. To '
stand block"" ie a tiresome operation, and one that trie? the em per and
patience of tbe sweetest- tempered woman, not to speak of the physical
weariness she must undergo. la some households in the country the mother is
the dressmaker of tbe family, and if the children are yonhg . and her
neighbours are far away, her difficulties, both in fitting her bodices and
draping her skirts, are great. To snch amateur dress makers, let me recommend
the purchase of one of Crowley's dress stands. There is a large and increasing
demand for these useful aids to dressmaking. If a tight fitting bodice be sent
to 0, Growley, 1 Little Lonsdale street west, Melbourne, a stand will be
returned, the upper part of which is the exact model of the wearer's person,
the lower part being a wire skirt for draping purposes.

"
4801246,/newspaper/4801246,Family Notices,Family Notices,1853-12-29,4,4,,https://trove.nla.gov.au/ndp/del/article/4801246?searchTerm=text%3A%221+little+lonsdale+street%22%7E0,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",6.1238265,very relevant,"BIRTH.

At her residence, Richmond, Mrs. S. D?ve, of a

daughter.

MARRIED.

On Saturday, 2?th November, by license, by the Rev. A. Morison, the
independent minister, Great Collins-

street, Mr. Charles Edward S????, Master Mariner, of Chatham, in Kent, to Miss
Mary Teresa Reardon, youngest daughter of William Reardon, Esq., mer-

chant, London.

On the 23rd inst., at St. Kilda, by special license, by the Rev. D. Seddon,
Mrd. Edward D. Jones, chemist, son of the late Mr. Jones, chemist, ??old,
Flintshire, to Miss Martha, third daughter of Mr. T. Bredon, St.

Kilda.

On Tuesday, 27th inst., at St. Peter's church, Mr George Pitt, son of Mr John
Pitt, surveyor, Mary port, to Miss Ellen Green, of Newcastle-upon-Tyne.

On Wednesday 28th inst., at St. Peter's Church, by the Rev. J. D. Berman, Mr.
Samuel Williams, jun., of Collingwood, to Miss Elizabeth All?y Morris, eldest
daughter of Mr. John Morris, St. A?op??e, North

Wales.

DIED.

At Collingwood, on the 27th inst., Mr. Walter

R?w?n, late of Glasgow.

On the 28th inst., at her father's residence, No. 1?? Little Lonsdale-street
east, Mary, third daughter of Donald and Margaret McCarthy, aged twenty
months.

On the 28th inst., at his father's residence, No. 2? Little Lonsdale-street
west, Peter Patrick, son of Mr. Peter Scott[?], aged eighteen months.

"
2069686,/newspaper/2069686,DISTURBANCE IN CITY. Constable Draws Revolver.,Article,1924-11-17,18,18,"Only the presence of two constables prevented a serious disturbance in Little Lonsdale street, near Russell street late on Saturday afternoon. Plain-cloths",https://trove.nla.gov.au/ndp/del/article/2069686?searchTerm=text%3A%221+little+lonsdale+street%22%7E0,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",6.0252323,very relevant,"DISTURBANCE IN CITY.

Constable Draws Revolver.

Only the presence of two constables pre 1 vented a serious disturbance in
Little Lonsdale

street near Russell street late on

Saturday afternoon Plain-clothes Constables Murphy and Snowden, of Russell
street, were returning to the city watch house with a prisoner, and as they
approached 1 Little Lonsdale street, ther heard shouting and bad language
Snowden went on to the w watchhouse and Murphy who was joined by Senior con
stable Downie entered Little Lonsdale street In front of in hotel between 70
and 80 men were gathered and many of them were fighting When the men realised
that the newcomers were constables they sank their differences and threatened
the police Murphy seized a young man who, he believed, had caused the
disturbance, but was immediately attacked by two other men, one of whom struck
him a heavy blow on the neck Murphy thereupon produced his revolver, and
charging through the crowd, arrested a man who had been prominent some minutes
earlier owed by the revolver, most of the members of the crowd retired towards
Swanston street and in a few minutes Little Lonsdale street was cleared

Later, at the city watchhouse, Richard McColl aged 17 years, labourer, and
Thomas Gabriel Do Cie, aged 21 years, nib ber worker, were charged with having
behaved in an offensive manner in Little Lonsdale street and with having
assaulted Constable Murphy The men will appear before the City Court this
morning

"
9861425,/newspaper/9861425,ROBBING A WEST AUSTRALIAN VISITOR.,Article,1898-11-22,6,6,Patrick M'Ginely was arrested by Detective-Sergenat Whitney and Detective Dalton on Sunday night for robbing a West Australian contractor namd,https://trove.nla.gov.au/ndp/del/article/9861425?searchTerm=text%3A%221+little+lonsdale+street%22%7E0,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",5.9285884,very relevant,"ROBBING A WEST AUSTRALIAN,

VISITOR |

Patrick -McGinley AAUS arrested by Toc tcttiAe Sergeant Whitney and Detective)
Dalton on Sunday night for robbed), n West ""Australian contractor named love
shall O Leary of ""84 an old, mill He has since confessed to the offence, there
being now associated in (li him in the charge it woman named Malibu J o'clock,
, alias George Ilia detectives beers and yesterday that M G inky and Lovelock
had been seen counting; out a large amount of money in a rural hotel in Little
1 Ruddle street, and that thereupon arrested the AAoiiinii on suspicion On l
emu taken in charge elie alleged that M (Tinley AMIS the guilty party, and
when they were con limited the men eventually admitted the robbery he offered
to take Hu detectives to the place AT have which all he had decided the
motion, but he little money changed him I mean thickly, for though he pointed
out

I ii spot in a house III 1 Little Lonsdale Street in the late of the tteiMiic,
nothing Man found there Y Lohrey sovereign AA IN afterwards discovered in
(another place alto L,et_Li, and on returning to the Watchhouse iii (Bailey H
coiiHctciuo Allis related to the extent of another ""1, ""15th he produced ft
long in hiding places in the lining of his coat Both he and LoAilock are
charged with larceny, and Mill appear to answer the coal to together

"
