id,url,heading,category,date,page,pageSequence,troveUrl,title.id,title.value,relevance.score,relevance.value,snippet,text
170155075,/newspaper/170155075,Family Notices,Family Notices,1871-12-23,9,9,https://trove.nla.gov.au/ndp/del/article/170155075?searchTerm=text%3A%229+little+lonsdale+street%22%7E0,792,"Advocate (Melbourne, Vic. : 1868 - 1954)",7.8512583,very relevant,,"Births, Marriages, and Deaths. O'CONNOR.—At Whittlesea, on Monday, 27th ult.,
Jane O'Connor, the beloved wife of William O'Connor, aged 29 years.—R.I.P.
BOYLE.—Died, at his residence, 9 Little Lonsdale street east, on the 8th
December, John Boyle, blacksmith, a native of Mallow, County Cork, Ireland, in
the 55th year ot his age; an old colonist of twenty eight years' standing.
Cork papers please copy. The Advocate MELBOURNE, SATURDAY, DEC. 23, 1871.

"
242083493,/newspaper/242083493,CITY PROPERTIES SOLD. THE THROSSELL ESTATE.,Article,1910-06-02,3,3,https://trove.nla.gov.au/ndp/del/article/242083493?searchTerm=text%3A%229+little+lonsdale+street%22%7E0,1190,"The Herald (Melbourne, Vic. : 1861 - 1954)",7.2550077,very relevant,"Messrs Gemmell, Tuckett and Co. Pty. Ltd, general auctioneers, 361 Collins street, report having sold on behalf of the Trustees, Executors and Agency Co.","CITY PROPERTIES SOLD.

the thr0ssell estate.

Messrs Gemmell, Tuckctt and Co. Ply. Ltd, general auctioneers, 3G1 Collins
street, report having sold on behalf of tho Trustees, Executors and Agency Co.

Ltd., of 412 Collins street, as executors In the estate of Frederick
Throssell, de ceased. two substantial four - storey brick stores, Nos. 24 and
2G Burns lane, Mclbounrc, on land 49ft llln by 56ft, for the sum of L3700. Tho
same firm has also just sold In the same estate conjointly with Simp son nnd
Sons, Lwo shops, Nos. 385-9 Little Lonsdale street, on land 56ft by 70ft, for
L1300; laud, Burns lane, 60ft by 51ft, L900; land. Batman street, 100ft 9in by
IGoft, L9QG 15s; cottages, 417' Batman street, nnd 29 Franklin place, L290.
To- jtnl sales in this eslutc, L709G 15s. Tho auctioneers havo received offers
for three remaining lots, and oxpcct to report having disposed of them shortly

"
244466696,/newspaper/244466696,Family Notices,Family Notices,1865-06-16,2,2,https://trove.nla.gov.au/ndp/del/article/244466696?searchTerm=text%3A%229+little+lonsdale+street%22%7E0,1190,"The Herald (Melbourne, Vic. : 1861 - 1954)",7.190423,very relevant,,"Funeral Notices. THE FRIENDS of the late Mr. DENIS O'LEARY are respectfully
invited to follow his remains to the place of interment, Melbourne General
Cemetery. The funeral to move from his late residence, No. 9 Little Lonsdale
street west, on SATURDAY, 17th inst., at Two o'clock p.m. JOHN DALEY,
Undertaker, Latrobe and Spring streets, Melbourne. THE FRIENDS of the late
Mrs. MARY McCOR- MACK are respectfully invited to follow her remains to the
place of interment, Melbourne General Cemetery. The funeral to move from her
residence, Clare Cottage, Catherine street, off Church street, Richmond, on
SUNDAY, 18th inst., at Two o'clock p.m. JOHN DALEY, Undertaker, Latrobe and
Spring streets, Melbourne. THE FRIENDS of Mr. FREDERIC BLACK- HAM are
respectfully invited to follow the remains of his late WIFE, Lucinda Ann
M'Carthy, to the place of interment, Melbourne General Ceme- tery, THIS DAY.
The funeral to move from No. 10 Lygon street, Carlton, at half-past Three
o'clock.

"
5709514,/newspaper/5709514,Family Notices,Family Notices,1862-02-05,8,8,https://trove.nla.gov.au/ndp/del/article/5709514?searchTerm=text%3A%229+little+lonsdale+street%22%7E0,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",6.943137,very relevant,,"Funeral Notices.

TIE Friends of the late Mr. ROBERT THOMSON

(third son of John Thomson, Esq., of Rothsay,     Scotland) are respectfully
invited to follow his remains   to the Melbourne General Cemetery. The funeral
procession to move from the residence of Mr John McPherson, Nott-street,
Sandridge, near the Chequers Inn this day (Wednesday), the 5th inst., at 2  

o'clock

BETH BENTLEY, undertaker, Rouse-street, Sand-

ridge.

THE Friends at the late Mr JAMES CROSBIE

upholsterer, are respectfully invited to follow his   remains to the place of
interment. The funeral to move from his late residence, 9 Little Lonsdale
street  

east, Melbourne, this day (Wednesday), 5th inst, at 3

o'clock p.m.

JOHN DALEY, undertaker, La Trobe and Spring streets, Melbourne.

THE Friends of the late Mr THOMAS GUEST  

are respectfully invited to follow his remains to the place of interment,
Melbourne General Cemetery, The funeral to move from his residence, Deep
Creek, to-morrow, Thursday, 6th inst., at 10 o'clock, passing Essendon about 2
o clock p m.

JOHN DALEY, undertaker, La Trobe and Spring

streets, Melbourne

"
5735064,/newspaper/5735064,Family Notices,Family Notices,1865-06-16,4,4,https://trove.nla.gov.au/ndp/del/article/5735064?searchTerm=text%3A%229+little+lonsdale+street%22%7E0,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",6.7093496,very relevant,,"[In order to guard against imposition, notices of

Births, Marriages, and Deaths must be authenticated by some responsible person
in Melbourne to insure

their insertion.]

BIRTHS.

BURTON.—On the 11th inst., at Kent-street, Windsor,

Mrs. W. H. Burton, of Hardie's-hill, of a son.

DAVIS.—On the 15th inst., at 149 Victoria-parade,

Fitzroy, the wife of Mr. Joseph Davis of a daughter.

MARRIAGES.

DAWSON—ALLMAN.—On the 12th inst., at Port Albert,

by the Rev. James W. Tuckfield, Wesleyan minister, Mr. Herbert Dawson, of Port
Albert, to Mary All- man, daughter of Mr. Thomas Allman, Collingwood. NARRIE-
LANG.—On the 15th inst, at Ballarat, by

Rev. Wm. Henderson, Mr. William Narrie, seeds- man, Ballarat, to Ellen D'Arcy,
second daughter of Mr. Thomas Lang, seedsman, Ballarat.

SKINNER—HICKMAN.—On the 23rd May, at Jamieson,

by the Rev. F. Smith, Mr.Thomas Skinner, youngest son of Captain Skinner, of
Victoria-park, London, to Phœbe, youngest daughter of Stephen Hickman, Esq.,
Oxfordshire, England. Home papers please copy.

McCORMACK.—On the 14th inst., at her residence, Clare-

cottage, Catherine-street, Richmond, Mrs. Mary McCormack, aged seventy-six
years. Adelaide papers please copy.

O'LEARY.—On the 15th inst., at his residence, 9 Little

Lonsdale-street west, Mr. Denis O'Leary, cooper, aged forty-seven years.

"
244469162,/newspaper/244469162,Family Notices,Family Notices,1865-06-17,2,2,https://trove.nla.gov.au/ndp/del/article/244469162?searchTerm=text%3A%229+little+lonsdale+street%22%7E0,1190,"The Herald (Melbourne, Vic. : 1861 - 1954)",6.497816,very relevant,,"Funeral Notices. THE FRIENDS of the late Mr. DENIS O'LEARY are respectfully
invited to follow his remains to the place of interment, Melbourne General
Cemetery. The funeral to move from his late residence, No. 9 Little Lonsdale
street west, THlS DAY (Saturday), 17th inst., at Two o'clock p.m. JOHN DALEY,
Undertaker, Latrobe and Spring streets, Melbourne. THE FRIENDS of the late
Mrs. MARY M'CORMACK are respectfully invited to follow her remains to the
place of interment, Melbourne General Cemetery. The funeral to move from her
residence, Clare Cottage, Catherine street, off Church street, Richmond, on
SUNDAY, 18th inst., at Two o'clock p.m. JOHN DALEY, Undertaker, Latrobe and
Spring streets, Melbourne. THE FRIENDS of the late Mr. FERDINAND OTTO GROHN
are respectfully invited to follow his remains to the place of interment,
Melbourne General Cemetery. The funeral will leave his late residence, Railway
Reserve, end of Hawke street, West Melbourne, TO-MORROW (Sunday), at Half-past
Two o'clock. HENRY ALLISON, Undertaker, Victoria street, Melbourne.

BIRTH. BENTLEY.— On the 15th June, at View street, Sand- hurst, the wife of
Mr. R. Bentley of a daughter. MARRIAGES. KEADY— QUINLAN.— On the 10th June, at
St Patrick's Church, Kilmore, by the Rev. Francis M'Carthy, C.C., Patrick
Keady, second son of John Keady, Esq., Somerset, Pentridge, to Mary, eldest
daughter of Mr. Thomas Quinlan, Willowmavin, Survey. PHILLIPS— DURRANT. — At
Newstead, by the Rev. Mr. M'Cormack, Mr. F. Phillips, storekeeper of Newstead,
to Zipporah Durrant, widow of the late Mr. George Durrant, Campbell's Creek.

"
5709523,/newspaper/5709523,Family Notices,Family Notices,1862-02-05,4,4,https://trove.nla.gov.au/ndp/del/article/5709523?searchTerm=text%3A%229+little+lonsdale+street%22%7E0,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",6.394817,very relevant,,"BIRTHS.

CAUGHEY.—On the 4th inst., at Upper Hawthorn,

Mrs. James Alexander Caughey of a daughter.

ELWORTHY.—On the 27th ult., at Stooke-street, Sand-

ridge, Mrs. James Elworthy of a son.

HULL.—On the 4th inst., at Clarendon-street, East

Melbourne, Mrs. W. H. Hull of a daughter.

MORRISON.—On the 4th inst., at the Geelong College,

Mrs. G. Morrison of a son.

WYMOND.—On the 28th ult., at her residence, 10 Park-

terrace, St. Kilda, Mrs. Thomas Stocker Wymond of a daughter.

MARRIAGES.

CROMBIE—WATSON.—On the 4th inst., at Linda House,

East St. Kilda, by the Rev Donald M'Donald, of South Melbourne, Mr. Edward
Eilice Crombie, Oriental Bank Corporation, Melbourne, to Jessie youngest
daughter of the late Mr. James Watson, Logie Crimond, Aberdeenshire, Scotland.

RYMER—BEETSON.—On the 1st inst., at St. Paul's

Church Geelong, by the Rev. Frederic Smith, Wil- liam Burnett Rymer, Esq., of
Sandhurst, to Mary Eleanor, second daughter of Henry Beetson, Esq.,

of Calcutta.

DEATHS.

CROSBIE.—On the 4th inst., at 9 Little Lonsdale-street

east, Melbourne, Mr. James Crosbie, upholsterer, formerly of Kilmarnock,
Scotland, aged twenty-six

years.

GUEST.—On the 4th inst., at his residence, Deep

Creek, Mr. Thomas Guest, aged seventy years.

McKNIGHT.—On the 31st ult., at the Vice-Regal Hotel,

Richmond, Kate, the beloved daughter of George and Susannah M'Knight, aged one
year and eight

months.

PAYNE.—On the 2nd inst., at Caulfield, George John,

son of John Payne, Esq., aged two years.

WHEELER.—On the 18th ult., at Taradale, John,

eldest son of Joseph Wheeler, Esq., of Jamaica-row, Bermondsey, London, aged
thirty-three.

"
170160441,/newspaper/170160441,Family Notices,Family Notices,1884-05-24,13,13,https://trove.nla.gov.au/ndp/del/article/170160441?searchTerm=text%3A%229+little+lonsdale+street%22%7E0,792,"Advocate (Melbourne, Vic. : 1868 - 1954)",6.291536,very relevant,,"Strifes, Hfumagu, snb MARRIAGE. Hioaws—TOBPIT.—On the 6th of May, at St.
Francis"" Soman Catholic Church, by the Rev. Aroh-priest O'Meara, assisted by
the Eev. M. Torpey, Esq., Clare, Ireland. O'BRIEN.—On the St. Mary's
Presbytery, St. Kilda, the Rev. Maurice O'Brien, late of Adare, Co. Limerick;
aged 87 years. Fortified by the rites of the church. Bequiescat in pace.
DEVLIN.—At his residence, Fairview, Cape Bridgewater, Victoria, on the 10th
May, Bernard Devlin, native of Cookstown, Co. Tyrone, Ire- « i regretted and
much respected byall who knew him. Requiesoat in pace. CABHODT.—On the 16th
May, at Youarang. Emma, the dearly beloved wife of Joseph A, DTCarmody! and
daughter of William and Elizabeth Sutton, aged 29 years; whose loss is deeply
felt by all those that love her. Her end was peace DONOVAH.—On the 10th inst.,
at his residence, Yabba Yabba, Michael Donovan, late of Castlefarm, Co.
Limerick, Ireland, in the 40th year of of his age.—R.I.P. (Limerick papers
please copy.) M'CABTHT.-On the 15th ult., at his residence, Patrick-street,
Stawell, John M'Carthy, native of Ballydufi, Co. Kerry, Ireland; aged 44
years. Fortified by the rites of Holy Church. Requiescat in pace. BOYLE.—Died
on the 11th of May, at his mother's residence, 9 Little Lonsdale-street East,
of phthisis, after a long and painful illness, Michael John, eldest and
beloved son of Catherine and the late John Boyle, blacksmith; aged 33 years.
May his soul rest in peace. Amen. KELEHEB.—On the 18th inst., at Victoria-
street, West Melbourne, lima Mary, the dearly beloved child of P. S. and the
late Mary Keleher; aged 8 years and 4 months. MELBOUENE, SATUEDAY, MAY 24,
1884.

"
5735057,/newspaper/5735057,Family Notices,Family Notices,1865-06-16,8,8,https://trove.nla.gov.au/ndp/del/article/5735057?searchTerm=text%3A%229+little+lonsdale+street%22%7E0,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",6.2912354,very relevant,,"Funeral Notices.

THE friends of Mr. FREDERIC BLACKHAM,

are respectfully invited to follow the remains of his late wife, Lucinda Ann
M'Carthy, to the place of interment, Melbourne General Cemetery, THIS

DAY.

The funeral to move from No. 10 Lygon-street, Carlton, at half-past 3 o'clock.

THE Friends of the late Mr. DENIS O'LEARY are respectfully invited to follow
his remains to the place of interment, Melbourne General Cemetery.

The funeral to move from his late residence, No. 9 Little Lonsdale-street
west, on Saturday, 17th inst.,

at 2 o'clock p.m.

JOHN DALEY, Undertaker, Latrobe and Spring

streets, Melbourne.

THE Friends of the lato Mrs. MARY MACORMACK

are respectfully invited to follow her remains to the place of interment,
Melbourne General Ceme-

tery.

The funeral to move from her residence, Clare- cottage, Catherine-street, off
Church-street, Rich- mond, on Sunday, 18th inst., at 2 o'clock p.m.

JOHN DALEY, Undertaker, Latrobe and Spring

streets, Melbourne.

THE friends of Mr. PATRICK DOWLING are respectfully invited to follow the
remains of his late son, William, to the place of interment, Mel- bourne
General Cemetery.

The funeral to move from his residence, 29 Rose- street, Fitzroy, THIS DAY, at
2 o'clock p.m.

JOHN DALEY, undertaker, Latrobe and Spring

streets, Melbourne.

THE Friends of the late JOHN PETRE MAC-

KILLOP, Esq., are respectfully invited to follow his remains to the place of
interment, in the Mel- bourne General Cemetery.

The funeral to leave his late residence, Claremont, near Flemington, on
Saturday, June 17,1865, at half-

past 2 o'clock precisely, passing through Flemington

at 3.

WILLIAM GEORGE RAVEN, undertaker, 145

Smith-street, Fitzroy.

"
5741186,/newspaper/5741186,Family Notices,Family Notices,1865-06-17,8,8,https://trove.nla.gov.au/ndp/del/article/5741186?searchTerm=text%3A%229+little+lonsdale+street%22%7E0,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",6.2888184,very relevant,,"Funeral Notices.

THE Friends of the late JOHN PETRE MAC-

KILLOP, Esq., are respectfully invited to follow his remains to the place of
interment, in the Mel- bourne General Cemetery,

The funeral to leave his late residence, Claremont, near Flemington, THIS DAY,
Saturday, June 17, at, half-past 2 o'clock precisely, passing through
Flemington at 3.

WILLIAM GEORGE RAVEN, undertaker, 145 Smith-street, Fitzroy.

THE Friends of the late Mr. JOHN ADAM are

respectfully requested to follow his remains to the place of interment,
Melbourne General Ceme-

tery.

The funeral cortege to move from his late residence, York-street, Emerald-
hill, at 2.20 p.m. THIS DAY,

17th instant.

R. McKENZIE, undertaker, Clarendon-street, Eme-

rald-hill.

THE friends of Mr. ROBERT CRAIG are respect-

fully invited to follow the remains of his de- ceased brother John to the
place of interment, St. Kilda General Cemetery.

The funeral to move from his residence, 56 Curzon- street, Hotham, THIS DAY,
at 2 p.m.

THE Friends of the late Mr. DENIS O'LEARY are respectfully invited to follow
his remains to the place of interment, Melbourne General Cemetery.

The funeral to move from his late residence, No. 9 Little Lonsdale-street
west, THIS DAY, Saturday, 17th inst., at 2 o'clock p m.

JOHN DALEY, Undertaker, Latrobe and Spring

streets, Melbourne,

THE Friends of the late Mrs. MARY M'CORMACK are respectfully invited to follow
her remains to the place of interment, Melbourne General Cemetery.

The funeral to move from her late residence, Clare- cottage, Catherine-street,
off Church-street, Rich- mond, on Sunday, 18th inst., at 2 o'clock p.m.

JOHN DALEY, Undertaker, Latrobe and Spring

streets, Melbourne.

"
